s,pdte
41930.1302060264,0.012
41940.5705125353,0.012
41950.7685515625,0.011
41960.255384543,0.011
41970.4534235702,0.011
41980.8937300791,0.011
41990.7425878809,0.011
42000.2294208614,0.01
42010.9997504757,0.01
42020.4865834562,0.01
42030.335441258,0.01
42040.1842990598,0.01
42050.0331568616,0.01
42060.8034864759,0.009
42070.6523442776,0.009
42080.9479744186,0.008
42090.7968322204,0.007
42100.6456900222,0.006
42110.494547824,0.005
42120.3434056258,0.004
42130.1922634276,0.003
42140.6325699365,0.002
42150.4814277383,0.001
42159.9682607188,-0.001
42170.4085672277,-0.002
42179.8954002082,-0.003
42190.3357067171,-0.004
42200.7760132261,-0.004
42209.9955576833,-0.005
42220.1935967105,-0.005
42230.3916357377,-0.005
42240.5896747649,-0.005
42250.639550386,-0.004
42260.8375894132,-0.004
42269.8929745514,-0.003
42279.9428501725,-0.002
42289.9927257936,0
42299.9927257936,0.001
42310.0426014147,0.002
42320.0426014147,0.003
42330.0426014147,0.004
42340.0426014147,0.005
42350.0924770358,0.006
42360.142352657,0.007
42370.142352657,0.008
42380.1922282781,0.009
42390.3902673053,0.011
42400.4401429264,0.012
42410.4900185475,0.013
42420.6880575747,0.014
42429.7434427129,0.014
42439.94148174,0.015
42450.1395207672,0.015
42460.3375597944,0.015
42470.5355988216,0.015
42479.7551432789,0.014
42489.9531823061,0.014
42500.0030579272,0.013
42510.2010969544,0.012
42520.3991359816,0.01
42529.6186804389,0.009
42539.66855606,0.008
42549.8665950872,0.007
42560.0646341144,0.005
42570.1145097355,0.004
42580.3125487627,0.002
42590.3624243838,0.001
42599.5819688411,-0.001
42609.6318444622,-0.002
42619.8298834894,-0.003
42629.8797591105,-0.004
42639.9296347316,-0.005
42649.9795103528,-0.006
42660.17754938,-0.006
42670.2274250011,-0.007
42680.2773006222,-0.007
42690.3271762433,-0.007
42699.3825613815,-0.006
42709.4324370026,-0.006
42719.4823126237,-0.005
42729.5321882448,-0.004
42739.582063866,-0.003
42749.582063866,-0.001
42759.6319394871,0
42769.6818151082,0.002
42779.7316907293,0.004
42789.7815663505,0.005
42799.8314419716,0.007
42809.8813175927,0.008
42819.9311932138,0.009
42829.9311932138,0.01
42839.9810688349,0.011
42850.0309444561,0.011
42860.0808200772,0.012
42869.1362052153,0.012
42879.1860808365,0.012
42889.2359564576,0.012
42899.2359564576,0.011
42909.2858320787,0.011
42919.3357076998,0.01
42929.385583321,0.01
42939.4354589421,0.01
42949.4853345632,0.011
42959.5352101843,0.011
42969.5352101843,0.012
42979.5850858054,0.012
42989.6349614266,0.012
42999.6848370477,0.012
43009.7347126688,0.013
43019.7845882899,0.013
43029.8344639111,0.013
43038.8898490492,0.013
43048.8898490492,0.013
43058.9397246703,0.013
43068.9896002915,0.013
43079.0394759126,0.013
43089.0893515337,0.013
43099.1392271548,0.013
43109.1891027759,0.013
43119.189102776,0.013
43129.2389783971,0.013
43139.2888540182,0.012
43149.3387296393,0.012
43159.3886052604,0.012
43169.3886052604,0.012
43179.4384808816,0.011
43189.4883565027,0.011
43199.4883565027,0.011
43209.5382321238,0.011
43219.5382321238,0.011
43229.5382321238,0.011
43239.5881077449,0.011
43249.5881077449,0.011
43258.5881077449,0.011
43268.5881077449,0.011
43278.5881077449,0.011
43288.5881077449,0.011
43298.5881077449,0.011
43308.5881077449,0.01
43318.5881077449,0.01
43328.5881077449,0.009
43338.5881077449,0.008
43348.6379833661,0.008
43358.6379833661,0.007
43368.6379833661,0.007
43378.6878589872,0.006
43388.6878589872,0.006
43398.7377346083,0.005
43408.7377346083,0.004
43418.7876102294,0.004
43428.8374858506,0.003
43438.8374858506,0.003
43448.8873614717,0.003
43458.9372370928,0.003
43468.9871127139,0.003
43479.0369883351,0.003
43489.0868639562,0.003
43499.1367395773,0.003
43508.3562840346,0.002
43518.5543230618,0.002
43528.6041986829,0.002
43538.8022377101,0.003
43549.0002767373,0.003
43559.1983157645,0.003
43568.4178602217,0.003
43578.8581667307,0.004
43589.0562057578,0.004
43598.5430387384,0.004
43608.7410777655,0.003
43618.227910746,0.003
43628.668217255,0.003
43638.1550502355,0.004
43648.5953567444,0.004
43658.0821897249,0.004
43668.8525193391,0.004
43678.3393523197,0.004
43688.7796588286,0.003
43697.9992032859,0.003
43708.4395097948,0.002
43718.8798163037,0.002
43728.099360761,0.001
43738.2973997882,0.001
43748.4954388154,0.001
43758.6934778425,0.002
43768.8915168697,0.002
43777.9469020079,0.003
43787.996777629,0.003
43798.0466532501,0.003
43808.0965288712,0.003
43818.1464044924,0.003
43828.1962801135,0.003
43838.2461557346,0.003
43848.2960313557,0.003
43858.2960313557,0.002
43868.3459069769,0.002
43878.395782598,0.002
43888.4456582191,0.002
43898.4955338402,0.003
43908.6935728674,0.003
43917.7489580055,0.004
43927.9469970327,0.005
43938.1450360599,0.006
43948.3430750871,0.007
43957.5626195444,0.009
43968.0029260533,0.01
43978.4432325622,0.012
43987.9300655427,0.014
43998.3703720516,0.016
44008.2192298534,0.018
44017.7060628339,0.02
44027.5549206357,0.023
44038.32525025,0.025
44048.1741080518,0.028
44057.6080891838,0.03
44067.9037193248,0.032
44078.1993494658,0.033
44088.0482072676,0.035
44097.4821883997,0.036
44107.7778185407,0.037
44117.7778185407,0.038
44128.0734486816,0.039
44138.3690788226,0.04
44147.8030599547,0.041
44158.0986900957,0.041
44168.0986900957,0.042
44178.3943202367,0.042
44187.8283013687,0.043
44198.1239315097,0.043
44207.5579126418,0.043
44218.3745664681,0.043
44227.8085476002,0.043
44238.1041777412,0.042
44247.5381588732,0.042
44258.3548126996,0.041
44267.7887938317,0.041
44278.0844239727,0.041
44287.5184051047,0.041
44297.8140352457,0.041
44307.8140352457,0.041
44318.1096653867,0.042
44327.5436465187,0.042
44337.8392766597,0.043
44347.8392766597,0.044
44358.1349068007,0.045
44367.5688879328,0.045
44377.8645180738,0.046
44387.2984992058,0.046
44398.1151530322,0.046
44407.5491341643,0.046
44417.8447643052,0.046
44427.2787454373,0.046
44437.5743755783,0.046
44447.8700057193,0.046
44457.3039868513,0.045
44467.5996169923,0.045
44477.8952471333,0.045
44487.7441049351,0.045
44497.5929627369,0.045
44507.4418205387,0.046
44517.2906783405,0.046
44527.1395361423,0.046
44537.5798426512,0.046
44547.0666756317,0.045
44557.5069821406,0.045
44566.9938151211,0.044
44577.1918541483,0.043
44587.6321606572,0.041
44597.8301996844,0.04
44607.0497441417,0.038
44617.2477831689,0.036
44627.29765879,0.034
44637.3475344111,0.033
44647.3974100322,0.031
44657.4472856534,0.03
44667.4971612745,0.028
44677.5470368956,0.026
44687.5969125167,0.024
44697.6467881379,0.022
44706.6467881379,0.02
44716.696663759,0.018
44726.7465393801,0.016
44736.7964150012,0.014
44746.8462906223,0.012
44756.8462906223,0.01
44766.8961662435,0.009
44776.9460418646,0.007
44786.9959174857,0.006
44796.9959174857,0.005
44807.0457931068,0.004
44817.095668728,0.004
44827.1455443491,0.003
44837.1455443491,0.003
44847.1954199702,0.003
44857.2452955913,0.003
44867.2951712125,0.004
44877.3450468336,0.004
44887.3450468336,0.005
44897.3949224547,0.005
44906.4503075929,0.005
44916.500183214,0.004
44926.500183214,0.004
44936.5500588351,0.003
44946.5999344562,0.003
44956.6498100773,0.003
44966.6996856985,0.003
44976.7495613196,0.003
44986.7994369407,0.003
44996.9974759679,0.003
45007.1955149951,0.004
45016.4150594524,0.004
45026.6130984796,0.004
45036.8111375068,0.003
45046.2979704873,0.003
45056.7382769962,0.002
45066.9363160234,0.002
45076.7851738251,0.001
45086.2720068056,0
45097.0423364199,-0.001
45106.5291694004,-0.002
45116.3780272022,-0.003
45126.6736573432,-0.004
45136.522515145,-0.005
45146.818145286,-0.006
45156.6670030878,-0.007
45166.9626332288,-0.008
45176.3966143608,-0.01
45186.6922445018,-0.011
45196.1262256339,-0.012
45206.4218557748,-0.012
45216.7174859158,-0.013
45226.1514670479,-0.013
45236.4470971889,-0.013
45246.4470971889,-0.013
45256.7427273299,-0.013
45267.0383574708,-0.013
45276.4723386029,-0.013
45286.7679687439,-0.013
45296.2019498759,-0.013
45306.4975800169,-0.013
45316.4975800169,-0.013
45326.7932101579,-0.012
45336.22719129,-0.012
45346.522821431,-0.011
45356.8184515719,-0.01
45366.252432704,-0.009
45376.548062845,-0.008
45385.982043977,-0.007
45396.277674118,-0.006
45406.573304259,-0.005
45416.0072853911,-0.004
45426.302915532,-0.004
45436.598545673,-0.003
45446.4474034748,-0.003
45456.2962612766,-0.002
45466.5918914176,-0.002
45476.4407492194,-0.001
45485.9275821999,-0.001
45496.6979118142,-0.001
45506.1847447947,-0.001
45515.6715777752,-0.001
45526.1118842841,-0.001
45535.5987172646,-0.001
45546.0390237735,-0.001
45556.4793302824,-0.001
45565.6988747397,-0.001
45576.1391812486,-0.001
45586.3372202758,-0.001
45595.5567647331,-0.001
45605.997071242,-0.001
45616.1951102692,-0.001
45625.6819432497,-0.001
45635.8799822769,-0.001
45646.3202887858,0
45655.5398332431,0
45665.980139752,0.001
45676.4204462609,0.001
45685.9072792414,0.001
45696.3475857503,0.002
45705.8344187309,0.002
45715.6832765326,0.002
45726.1235830416,0.002
45735.9724408433,0.003
45745.8212986451,0.003
45755.6701564469,0.003
45766.4404860612,0.003
45776.289343863,0.003
45786.1382016648,0.003
45795.9870594666,0.002
45806.2826896076,0.002
45816.1315474094,0.001
45825.5655285414,0
45835.4143863432,-0.001
45845.7100164842,-0.001
45855.558874286,-0.002
45865.854504427,-0.002
45875.7033622288,-0.002
45885.5522200306,-0.001
45895.8478501716,-0.001
45905.6967079733,-0.001
45915.9923381143,-0.001
45925.8411959161,-0.001
45935.6900537179,-0.001
45945.9856838589,-0.001
45955.8345416607,-0.001
45965.6833994625,-0.001
45975.5322572643,0
45985.3811150661,0
45995.6767452071,0.001
46005.1635781876,0.001
46015.9339078018,0.002
46025.7827656036,0.003
46035.6316234054,0.004
46045.1184563859,0.005
46055.8887860002,0.006
46065.737643802,0.007
46075.5865016038,0.008
46085.0733345843,0.01
46095.8436641986,0.011
46105.6925220004,0.012
46115.1793549809,0.012
46125.0282127827,0.013
46135.7985423969,0.013
46145.6474001987,0.013
46155.4962580005,0.013
46165.3451158023,0.013
46175.1939736041,0.014
46185.0428314059,0.014
46195.4831379148,0.015
46205.3319957166,0.016
46215.1808535184,0.016
46225.6211600273,0.017
46235.4700178291,0.017
46245.3188756309,0.017
46254.8057086114,0.016
46265.5760382257,0.016
46275.4248960275,0.016
46285.2737538293,0.016
46295.122611631,0.016
46304.9714694328,0.016
46315.7417990471,0.016
46325.5906568489,0.016
46335.4395146507,0.016
46345.2883724525,0.016
46355.1372302543,0.016
46364.9860880561,0.016
46374.8349458579,0.016
46384.6838036597,0.016
46394.5326614615,0.016
46404.8282916024,0.015
46414.6771494042,0.015
46424.526007206,0.015
46434.821637347,0.015
46444.6704951488,0.015
46454.5193529506,0.015
46464.8149830916,0.015
46474.6638408934,0.015
46484.9594710344,0.014
46494.8083288362,0.014
46504.657186638,0.013
46514.9528167789,0.012
46524.8016745807,0.011
46534.6505323825,0.011
46544.9461625235,0.01
46554.7950203253,0.01
46565.0906504663,0.009
46574.9395082681,0.009
46584.7883660699,0.008
46595.0839962109,0.007
46604.9328540127,0.007
46615.2284841536,0.006
46625.0773419554,0.006
46634.9261997572,0.006
46645.2218298982,0.005
46655.0706877,0.005
46665.366317841,0.004
46675.2151756428,0.004
46685.0640334446,0.004
46694.4980145766,0.004
46704.3468723784,0.004
46714.6425025194,0.004
46724.4913603212,0.004
46734.7869904622,0.004
46745.0826206032,0.004
46754.5166017352,0.004
46764.8122318762,0.004
46774.2462130083,0.004
46784.5418431493,0.004
46794.5418431493,0.005
46804.8374732903,0.005
46814.8374732903,0.006
46824.8374732903,0.007
46834.8374732903,0.009
46844.8374732903,0.01
46854.8374732903,0.011
46864.8374732903,0.011
46874.0570177476,0.012
46884.6871635603,0.012
46894.6871635603,0.013
46904.5866584969,0.014
46914.4861534335,0.016
46924.3856483701,0.017
46935.0157941828,0.018
46944.9152891195,0.019
46954.8147840561,0.021
46964.7142789927,0.022
46974.6137739293,0.023
46983.8333183866,0.024
46994.4634641993,0.024
47004.3629591359,0.025
47014.3629591359,0.025
47024.2624540725,0.025
47034.2624540725,0.025
47044.1619490091,0.024
47054.7920948219,0.024
47064.0116392792,0.023
47073.9111342158,0.022
47084.5412800285,0.02
47094.4407749651,0.019
47104.3402699017,0.017
47114.3402699017,0.015
47124.2397648383,0.014
47134.139259775,0.012
47144.0387547116,0.01
47153.9382496482,0.008
47164.5683954609,0.006
47174.4678903975,0.004
47184.3673853341,0.003
47194.2668802707,0.001
47204.1663752073,-0.001
47214.065870144,-0.003
47223.9653650806,-0.005
47233.8648600172,-0.007
47243.7643549538,-0.009
47254.3945007665,-0.011
47264.2939957031,-0.013
47274.1934906397,-0.014
47284.0929855764,-0.016
47293.992480513,-0.017
47303.992480513,-0.018
47313.8919754496,-0.018
47323.7914703862,-0.019
47334.4216161989,-0.019
47344.3211111355,-0.02
47353.5406555928,-0.02
47364.1708014056,-0.021
47374.0702963422,-0.021
47384.0702963422,-0.021
47393.9697912788,-0.02
47403.9697912788,-0.02
47413.9697912788,-0.02
47423.9697912788,-0.02
47433.9697912788,-0.021
47444.5999370915,-0.021
47454.0339182236,-0.021
47464.0339182236,-0.021
47474.0339182236,-0.021
47483.4678993556,-0.021
47494.284553182,-0.021
47503.7185343141,-0.021
47514.014164455,-0.021
47523.4481455871,-0.02
47533.7437757281,-0.02
47544.0394058691,-0.019
47553.4733870011,-0.019
47563.3222448029,-0.019
47573.6178749439,-0.019
47583.4667327457,-0.019
47593.7623628867,-0.019
47603.6112206885,-0.02
47613.9068508295,-0.02
47623.7557086313,-0.021
47634.0513387722,-0.021
47643.900196574,-0.022
47653.7490543758,-0.023
47664.0446845168,-0.024
47672.9889564268,-0.026
47683.2845865678,-0.027
47693.1334443696,-0.029
47703.4290745106,-0.03
47713.2779323124,-0.032
47723.1267901142,-0.033
47733.4224202552,-0.034
47743.2712780569,-0.035
47753.1201358587,-0.036
47763.4157659997,-0.037
47773.2646238015,-0.038
47783.1134816033,-0.039
47793.4091117443,-0.039
47803.2579695461,-0.04
47813.1068273479,-0.04
47823.4024574889,-0.04
47833.2513152907,-0.041
47844.0216449049,-0.041
47853.5084778854,-0.041
47863.3573356872,-0.04
47873.206193489,-0.04
47883.6464999979,-0.039
47893.4953577997,-0.038
47902.9821907802,-0.037
47913.7525203945,-0.035
47923.239353375,-0.034
47933.6796598839,-0.032
47943.1664928644,-0.03
47953.3645318916,-0.027
47962.8513648721,-0.025
47973.291671381,-0.022
47983.4897104082,-0.019
47992.9765433887,-0.017
48003.1745824159,-0.014
48013.6148889248,-0.012
48022.8344333821,-0.01
48033.274739891,-0.008
48043.7150463999,-0.007
48052.9345908572,-0.005
48063.3748973661,-0.004
48073.5729363933,-0.002
48083.0597693738,-0.001
48093.257808401,0.001
48103.6981149099,0.002
48112.9176593672,0.004
48123.3579658761,0.005
48133.5560049033,0.006
48143.0428378838,0.006
48153.240876911,0.007
48163.6811834199,0.007
48172.9007278772,0.007
48183.3410343861,0.006
48192.8278673666,0.006
48202.6767251684,0.005
48212.5255829702,0.005
48222.8212131112,0.004
48233.1168432522,0.004
48242.5508243843,0.004
48253.180970197,0.005
48262.614951329,0.005
48272.5144462656,0.006
48282.5144462657,0.007
48292.7124852928,0.008
48302.7124852928,0.009
48312.1993182733,0.009
48322.4949484143,0.01
48332.5448240355,0.01
48342.5946996566,0.01
48352.5946996566,0.01
48362.5946996566,0.011
48372.6445752777,0.011
48381.864119735,0.011
48392.0621587622,0.011
48402.1120343833,0.011
48412.5523408922,0.01
48421.7718853495,0.01
48431.9699243767,0.01
48442.4102308856,0.01
48452.6082699128,0.01
48461.8278143701,0.01
48472.268120879,0.01
48482.4661599062,0.011
48491.9529928867,0.011
48502.1510319139,0.012
48512.3490709411,0.012
48521.8359039216,0.013
48532.0339429488,0.014
48542.2319819759,0.015
48552.6722884848,0.016
48561.8918329421,0.017
48572.3321394511,0.019
48582.5301784782,0.02
48592.0170114587,0.021
48602.2150504859,0.021
48612.6553569948,0.022
48621.8749014521,0.022
48632.3152079611,0.022
48642.5132469882,0.022
48652.0000799687,0.022
48662.1981189959,0.023
48671.6849519764,0.023
48681.8829910036,0.023
48692.3232975125,0.022
48701.5428419698,0.022
48711.9831484787,0.021
48722.4234549876,0.02
48731.9102879681,0.018
48742.3505944771,0.017
48751.5701389344,0.016
48762.0104454433,0.015
48771.4972784238,0.014
48781.9375849327,0.014
48791.3715660647,0.013
48802.0017118775,0.013
48812.0017118775,0.013
48821.8505696793,0.014
48831.3374026598,0.014
48841.7777091687,0.015
48851.2116903007,0.016
48861.2116903007,0.018
48871.6519968096,0.019
48881.7018724308,0.021
48891.5507302326,0.023
48901.5507302326,0.024
48911.8463603736,0.026
48921.3331933541,0.027
48931.3830689752,0.028
48941.4329445963,0.029
48951.4828202174,0.029
48961.6808592446,0.03
48970.9004037019,0.03
48981.0984427291,0.03
